route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
12680,NORTA,1,Algiers Point Ferry,,4,,00FFFF,000000
12681,NORTA,2,Riverfront Streetcar,,0,,0174F3,000000
12682,NORTA,4,Chalmette Ferry,,4,,C0C0C0,000000
12683,NORTA,5,Marigny-Bywater,,3,,7D0349,000000
12684,NORTA,10,Tchoupitoulas,,3,,ED99C2,000000
12685,NORTA,11,Magazine,,3,,9B5AA5,000000
12686,NORTA,12,St. Charles Streetcar,,0,,006737,000000
12687,NORTA,15,Freret,,3,,D6ED6B,000000
12688,NORTA,16,S. Claiborne,,3,,692B91,000000
12689,NORTA,27,Louisiana,,3,,4FBDFF,000000
12690,NORTA,28,M.L.King,,3,,D60C8C,000000
12691,NORTA,32,Leonidas-Treme,,3,,8FD1C5,000000
12692,NORTA,39,Tulane,,3,,F58025,000000
12693,NORTA,45,Lakeview,,3,,2AB560,000000
12694,NORTA,46,Canal Bus Bridge,,0,,FFFF00,000000
12695,NORTA,47,Canal Streetcar - Cemeteries,,0,,C32F3D,000000
12696,NORTA,48,Canal Streetcar - City Park/Museum,,0,,87CB25,000000
12697,NORTA,49,Rampart-St.Claude Streetcar,,0,,FDBB30,000000
12698,NORTA,51,St. Bernard-St.Anthony,,3,,A62188,000000
12699,NORTA,52,St. Bernard-Paris Avenue,,3,,99AAD1,000000
12700,NORTA,55,Elysian Fields,,3,,51B948,000000
12701,NORTA,57,Franklin,,3,,00B1B0,000000
12702,NORTA,60,Hayne,,3,,AF7022,000000
12703,NORTA,62,Morrison Express,,3,,00B6DE,000000
12704,NORTA,63,New Orleans East Owl,,3,,1F2D84,000000
12705,NORTA,64,Lake Forest Express,,3,,1F2D84,000000
12706,NORTA,65,Read-Crowder Express,,3,,00873D,000000
12707,NORTA,80,Desire-Louisa,,3,,F8B9AB,000000
12708,NORTA,84,Galvez,,3,,B890C2,000000
12709,NORTA,88,St. Claude/Jackson Barracks,,3,,001D5B,000000
12710,NORTA,90,Carrollton,,3,,7A4028,000000
12711,NORTA,91,Jackson-Esplanade,,3,,A99B06,000000
12712,NORTA,94,Broad,,3,,FFC421,000000
12713,NORTA,100,Algiers Loop Owl,,3,,245685,000000
12714,NORTA,101,Algiers Point,,3,,4FBDED,000000
12715,NORTA,102,General Meyer,,3,,CFAA78,000000
12716,NORTA,106,Aurora,,3,,F2A800,000000
12717,NORTA,108,Algiers Local,,3,,71C167,000000
12718,NORTA,114,General DeGaulle-Sullen,,3,,D08313,000000
12719,NORTA,115,General DeGaulle-Tullis,,3,,D08313,000000
12720,NORTA,201,Kenner Loop,,3,,86A7CE,000000
12721,NORTA,202,Airport Express,,3,,FF00FF,000000
