stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4,RiCa,Canal Street Station,NEW ORLEANS PUBLIC BELT & UNNAMED ST,29.950002,-90.063341,,,,,,0
5,5,Bienville Station,UNNAMED ST & NEW ORLEANS PUBLIC BELT,29.952669,-90.063409,,,,,,0
6,6,Toulouse Station,UNNAMED ST & NEW ORLEANS PUBLIC BELT,29.955575,-90.06266,,,,,,0
8,8,Dumaine Station,UNNAMED ST & NEW ORLEANS PUBLIC BELT,29.957864,-90.060641,,,,,,0
9,9,Ursulines Station,NEW ORLEANS PUBLIC BELT & ESPLANADE AVE,29.959485,-90.058961,,,,,,0
10,FrMk,French Market Station,O PUBLIC BELT RAILROAD & ESPLANADE AVENUE WHARF,29.960899,-90.05716,,,,,,0
23,6027,Poydras at St Charles,SAINT CHARLES AVE & N MAESTRI PL,29.949444,-90.070742,,,,,,0
24,6023,Poydras at Magazine,POYDRAS ST & MAGAZINE ST,29.949186,-90.068178,,,,,,0
33,6004,Convention Ctr. Blvd at Poydras,POYDRAS ST & CONVENTION CENTER BLVD,29.948462,-90.064897,,,,,,0
35,35,N. Claiborne Ave. at St. Peter St.,N CLAIBORNE AVE,29.963717,-90.073392,,,,,,0
44,44,Elysian Fields Ave. at Decatur St.,ELYSIAN FIELDS AVE & CHARTRES ST,29.96269,-90.056608,,,,,,0
45,AuTc,Audubon Park,TCHOUPITOULAS ST & CALHOUN ST,29.919581,-90.128774,,,,,,0
46,5002,Tchoupitoulas at Henry Clay,TCHOUPITOULAS ST & CALHOUN ST,29.918668,-90.126709,,,,,,0
47,5003,Tchoupitoulas at State,TCHOUPITOULAS ST & STATE ST,29.91749,-90.123476,,,,,,0
48,5004,Tchoupitoulas at Nashville,TCHOUPITOULAS ST & ELEONORE ST,29.916765,-90.120426,,,,,,0
49,5005,Tchoupitoulas at Joseph,TCHOUPITOULAS ST & ARABELLA ST,29.916365,-90.118538,,,,,,0
50,5006,Tchoupitoulas at Jefferson,TCHOUPITOULAS ST & JEFFERSON AVE,29.91638,-90.116389,,,,,,0
51,5007,Tchoupitoulas at Valmont,TCHOUPITOULAS ST & LEONTINE ST,29.916404,-90.113762,,,,,,0
52,5008,Tchoupitoulas at Dufossat,TCHOUPITOULAS ST & BELLECASTLE ST,29.916449,-90.111401,,,,,,0
53,5009,Tchoupitoulas at Upperline,TCHOUPITOULAS ST & ROBERT ST,29.916494,-90.108349,,,,,,0
54,5010,Tchoupitoulas at Bordeaux,TCHOUPITOULAS ST & BORDEAUX ST,29.916659,-90.105901,,,,,,0
55,5011,Tchoupitoulas at Cadiz,TCHOUPITOULAS ST & CADIZ ST,29.91687,-90.103579,,,,,,0
56,TcNp,Tchoupitoulas at Napoleon,TCHOUPITOULAS ST & JOSEPHINE ST,29.917053,-90.101366,,,,,,0
57,5013,Tchoupitoulas at Milan,TCHOUPITOULAS ST & GENERAL PERSHING ST,29.917253,-90.098859,,,,,,0
58,5014,Tchoupitoulas at Constantinople,TCHOUPITOULAS ST & CONSTANTINOPLE ST,29.917437,-90.096582,,,,,,0
59,5015,Tchoupitoulas at General Taylor,TCHOUPITOULAS ST & AUSTERLITZ ST,29.917635,-90.094198,,,,,,0
60,5016,Tchoupitoulas at Amelia,TCHOUPITOULAS ST & AMELIA ST,29.91776,-90.092278,,,,,,0
61,5017,Tchoupitoulas at Foucher,TCHOUPITOULAS ST & ANTONINE ST,29.917941,-90.090225,,,,,,0
64,5020,Tchoupitoulas at Seventh Street,TCHOUPITOULAS ST & 7TH ST,29.919714,-90.080867,,,,,,0
65,5021,Tchoupitoulas at Washington,TCHOUPITOULAS ST & 6TH ST,29.920514,-90.07842,,,,,,0
66,5022,Tchoupitoulas at Third Street,TCHOUPITOULAS ST & 3RD ST,29.921135,-90.076541,,,,,,0
67,5023,Tchoupitoulas at First Street,TCHOUPITOULAS ST & SECOND ST,29.92171,-90.074723,,,,,,0
68,5024,Tchoupitoulas at Soraparu,W SORAPARU ST & TCHOUPITOULAS ST,29.922257,-90.073419,,,,,,0
79,5035,Annunciation at Terpsichore,Terpsichore St & Annunciation St,29.935862,-90.069235,,,,,,0
80,5036,Annunciation at Melpomene,Annunciation St & Melpomene Ave,29.936625,-90.069002,,,,,,0
81,5037,Annunciation at Thalia,ANNUNCIATION ST & THALIA ST,29.937656,-90.068748,,,,,,0
82,6008,Annunciation at Calliope,CALLIOPE ST & ANNUNCIATION ST,29.939894,-90.068161,,,,,,0
84,6010,S. Peters at Girod,S PETERS ST & NOTRE DAME ST,29.946051,-90.065825,,,,,,0
85,6007,S. Peters at Julia,S PETERS ST & ST JOSEPH ST,29.944528,-90.065795,,,,,,0
86,6006,S. Peters at Poydras,S PETERS ST & LAFAYETTE ST,29.948294,-90.065838,,,,,,0
89,89,Magazine at Gravier,MAGAZINE ST & COMMON ST,29.950648,-90.067772,,,,,,0
90,90,Magazine at Poydras,POYDRAS ST & CAMP ST,29.949254,-90.06813,,,,,,0
91,91,Magazine at Capdeville,CAPDEVILLE ST & CAMP ST,29.947305,-90.0687,,,,,,0
92,92,Magazine at Julia,JULIA ST & CAMP ST,29.945475,-90.069251,,,,,,0
95,6011,S. Peters at Gaiennie,S PETERS ST & GAIENNIE ST,29.940077,-90.065529,,,,,,0
96,5079,Annunciation at Thalia,THALIA ST & ANNUNCIATION ST,29.937798,-90.068908,,,,,,0
97,5078,Annunciation at Melpomene,ANNUNCIATION ST & MELPOMENE ST,29.93682,-90.069185,,,,,,0
98,5077,Annunciation at Terpsichore,ANNUNCIATION ST & TERPSICHORE ST,29.935843,-90.069454,,,,,,0
99,5076,Race near Annunciation,RACE ST & ANNUNCIATION ST,29.933571,-90.069117,,,,,,0
104,104,Jackson at Chippewa,JACKSON AVE & ANNUNCIATION ST,29.926412,-90.074136,,,,,,0
105,105,Jackson at St Thomas,ST THOMAS ST & PHILIP ST,29.925601,-90.073441,,,,,,0
107,5068,Tchoupitoulas at Soraparu,E SORAPARU ST & ROUSSEAU ST,29.922459,-90.073256,,,,,,0
108,5067,Tchoupitoulas at Third Street,3RD ST & ROUSSEAU ST,29.921332,-90.076354,,,,,,0
109,5066,Tchoupitoulas at Washington,WASHINGTON AVE & ROUSSEAU ST,29.920757,-90.078191,,,,,,0
110,5065,Tchoupitoulas at Seventh Street,7TH ST & SAINT THOMAS ST,29.919906,-90.080714,,,,,,0
111,5064,Tchoupitoulas at Harmony,HARMONY ST & SAINT THOMAS ST,29.918993,-90.083523,,,,,,0
112,112,Tchoupitoulas at Louisiana,TCHOUPITOULAS ST & LOUISIANA AVE,29.91828,-90.086766,,,,,,0
113,5062,Tchoupitoulas at Foucher,FOUCHER ST & ANNUNCIATION ST,29.918111,-90.089986,,,,,,0
114,5061,Tchoupitoulas at Amelia,AMELIA ST & ANNUNCIATION ST,29.917936,-90.09212,,,,,,0
115,5060,Tchoupitoulas at General Taylor,GENERAL TAYLOR ST & ANNUNCIATION ST,29.917785,-90.093965,,,,,,0
116,5059,Tchoupitoulas at Constantinople,CONSTANTINOPLE ST & ANNUNCIATION ST,29.917587,-90.096376,,,,,,0
117,5058,Tchoupitoulas at Milan,MILAN ST & ANNUNCIATION ST,29.9174,-90.098655,,,,,,0
119,5056,Tchoupitoulas at Cadiz,CADIZ ST & ANNUNCIATION ST,29.917019,-90.103393,,,,,,0
120,5055,Tchoupitoulas at Bordeaux,BORDEAUX ST & ANNUNCIATION ST,29.916811,-90.105644,,,,,,0
121,5054,Tchoupitoulas at Upperline,UPPERLINE ST & ANNUNCIATION ST,29.916636,-90.10803,,,,,,0
122,505   3,Tchoupitoulas at Dufossat,DUFOSSAT ST & ANNUNCIATION ST,29.916592,-90.111068,,,,,,0
123,5052,Tchoupitoulas at Valmont,VALMONT ST & ANNUNCIATION ST,29.916559,-90.113295,,,,,,0
124,5051,Tchoupitoulas at Jefferson,JEFFERSON AVE & ANNUNCIATION ST,29.916514,-90.115986,,,,,,0
